feature,importance,fold
OWN_CAR_AGE,1331,2
HOUR_APPR_PROCESS_START,1035,2
EXT_SOURCE_1,3042,2
EXT_SOURCE_2,3926,2
EXT_SOURCE_3,3734,2
TOTALAREA_MODE,1131,2
DAYS_LAST_PHONE_CHANGE,2442,2
DAYS_EMPLOYED_PERC,3037,2
INCOME_CREDIT_PERC,1894,2
INCOME_PER_PERSON,1590,2
ANNUITY_INCOME_PERC,2445,2
PAYMENT_RATE,3733,2
BURO_DAYS_CREDIT_MIN,1221,2
BURO_DAYS_CREDIT_MAX,1597,2
BURO_DAYS_CREDIT_MEAN,1408,2
BURO_DAYS_CREDIT_VAR,1899,2
BURO_DAYS_CREDIT_ENDDATE_MIN,1123,2
BURO_DAYS_CREDIT_ENDDATE_MAX,1324,2
BURO_DAYS_CREDIT_ENDDATE_MEAN,1767,2
BURO_DAYS_CREDIT_UPDATE_MEAN,1429,2
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,1529,2
BURO_AMT_CREDIT_SUM_MAX,1325,2
BURO_AMT_CREDIT_SUM_MEAN,1593,2
BURO_AMT_CREDIT_SUM_SUM,1240,2
BURO_AMT_CREDIT_SUM_DEBT_MEAN,1304,2
ACTIVE_DAYS_CREDIT_MIN,1307,2
ACTIVE_DAYS_CREDIT_MAX,1666,2
ACTIVE_DAYS_CREDIT_MEAN,1543,2
ACTIVE_DAYS_CREDIT_VAR,1626,2
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,2090,2
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,1373,2
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,1691,2
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,2098,2
ACTIVE_AMT_CREDIT_SUM_MAX,1101,2
ACTIVE_AMT_CREDIT_SUM_MEAN,1321,2
ACTIVE_AMT_CREDIT_SUM_SUM,1307,2
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,1472,2
CLOSED_DAYS_CREDIT_MIN,1063,2
CLOSED_DAYS_CREDIT_MAX,1873,2
CLOSED_DAYS_CREDIT_MEAN,1173,2
CLOSED_DAYS_CREDIT_VAR,1707,2
CLOSED_DAYS_CREDIT_ENDDATE_MIN,1090,2
CLOSED_DAYS_CREDIT_ENDDATE_MAX,1923,2
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,1406,2
CLOSED_DAYS_CREDIT_UPDATE_MEAN,1566,2
CLOSED_AMT_CREDIT_SUM_MAX,1328,2
CLOSED_AMT_CREDIT_SUM_MEAN,1558,2
CLOSED_AMT_CREDIT_SUM_SUM,1346,2
PREV_AMT_ANNUITY_MIN,1199,2
PREV_AMT_ANNUITY_MEAN,1411,2
PREV_AMT_CREDIT_MEAN,1054,2
PREV_APP_CREDIT_PERC_MIN,1070,2
PREV_APP_CREDIT_PERC_MEAN,1288,2
PREV_APP_CREDIT_PERC_VAR,1891,2
PREV_HOUR_APPR_PROCESS_START_MEAN,1670,2
PREV_RATE_DOWN_PAYMENT_MEAN,976,2
PREV_DAYS_DECISION_MAX,1664,2
PREV_DAYS_DECISION_MEAN,1369,2
